cycle number	Ecell/V	Q discharge/mA.h	Energy discharge/W.h	
2.000000000000000E+000	3.3683982E+000	1.049676512078154E-001	-3.569214713669539E-004
2.000000000000000E+000	3.3678074E+000	1.123015000487740E-001	-3.816204616782510E-004
2.000000000000000E+000	3.3672166E+000	1.196353299528402E-001	-4.063150553779481E-004
2.000000000000000E+000	3.3667047E+000	1.269691655463684E-001	-4.310059141571417E-004
2.000000000000000E+000	3.3662319E+000	1.343030266393597E-001	-4.556933914530040E-004
2.000000000000000E+000	3.3656807E+000	1.416369092957551E-001	-4.803768987259498E-004
2.000000000000000E+000	3.3651292E+000	1.489707719656535E-001	-5.050562943828805E-004
2.000000000000000E+000	3.3645384E+000	1.563046217376366E-001	-5.297313137891274E-004
2.000000000000000E+000	3.3639085E+000	1.636384795364448E-001	-5.544017405910766E-004
2.000000000000000E+000	3.3633571E+000	1.709723384717148E-001	-5.790681268701914E-004
2.000000000000000E+000	3.3627269E+000	1.783061971913485E-001	-6.037298910640769E-004
2.000000000000000E+000	3.3621755E+000	1.856400589847606E-001	-6.283876212468753E-004
2.000000000000000E+000	3.3616636E+000	1.929739303176643E-001	-6.530416294066696E-004
2.000000000000000E+000	3.3611517E+000	2.003078050423372E-001	-6.776918948702658E-004
2.000000000000000E+000	3.3605216E+000	2.076416516192133E-001	-7.023374443725315E-004
2.000000000000000E+000	3.3600094E+000	2.149754914562611E-001	-7.269792153966086E-004
2.000000000000000E+000	3.3595369E+000	2.223093269824692E-001	-7.516175063643402E-004
2.000000000000000E+000	3.3589857E+000	2.296431656059664E-001	-7.762517651514651E-004
2.000000000000000E+000	3.3583555E+000	2.369770245635551E-001	-8.008814708803945E-004
2.000000000000000E+000	3.3578827E+000	2.443108790286092E-001	-8.255076941924357E-004
2.000000000000000E+000	3.3573709E+000	2.516447434794613E-001	-8.501301969426894E-004
2.000000000000000E+000	3.3568590E+000	2.589786002957531E-001	-8.747489199718750E-004
2.000000000000000E+000	3.3563075E+000	2.663124545428529E-001	-8.993635900334425E-004
2.000000000000000E+000	3.3557956E+000	2.736463026283226E-001	-9.239744853301356E-004
2.000000000000000E+000	3.3552048E+000	2.809801568084003E-001	-9.485810682289513E-004
2.000000000000000E+000	3.3547716E+000	2.883140121934852E-001	-9.731844780965633E-004
2.000000000000000E+000	3.3542202E+000	2.956478853429729E-001	-9.977839032060624E-004
2.000000000000000E+000	3.3536689E+000	3.029817427620664E-001	-1.022379232955932E-003
2.000000000000000E+000	3.3531964E+000	3.103155802797318E-001	-1.046971030390176E-003
2.000000000000000E+000	3.3526056E+000	3.176494047127539E-001	-1.071558451116480E-003
2.000000000000000E+000	3.3520935E+000	3.249832340804114E-001	-1.096142132563181E-003
2.000000000000000E+000	3.3515816E+000	3.323170699684197E-001	-1.120722081788402E-003
2.000000000000000E+000	3.3509908E+000	3.396508932099118E-001	-1.145297655795935E-003
2.000000000000000E+000	3.3505576E+000	3.469847179815876E-001	-1.169870057870111E-003
2.000000000000000E+000	3.3500063E+000	3.543185377766067E-001	-1.194438400694028E-003
2.000000000000000E+000	3.3495336E+000	3.616523620563786E-001	-1.219003291226806E-003
2.000000000000000E+000	3.3489034E+000	3.689861943247624E-001	-1.243563587174408E-003
2.000000000000000E+000	3.3484702E+000	3.763200202577353E-001	-1.268120684843841E-003
2.000000000000000E+000	3.3478401E+000	3.836538332145784E-001	-1.292673117731959E-003
2.000000000000000E+000	3.3473282E+000	3.909876432298992E-001	-1.317221786707269E-003
2.000000000000000E+000	3.3467770E+000	3.983214494139328E-001	-1.341766400289821E-003
2.000000000000000E+000	3.3463042E+000	4.056552664387267E-001	-1.366307582842321E-003
2.000000000000000E+000	3.3457530E+000	4.129891032132216E-001	-1.390844788898284E-003
2.000000000000000E+000	3.3450835E+000	4.203229540107688E-001	-1.415377132010103E-003
2.000000000000000E+000	3.3445714E+000	4.276568047110611E-001	-1.439905718962182E-003
2.000000000000000E+000	3.3440201E+000	4.349906490985261E-001	-1.464430242211319E-003
2.000000000000000E+000	3.3434687E+000	4.423244832390587E-001	-1.488950686862393E-003
