cycle number,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,|Z|/Ohm,Phase(Z)/deg
3.0,9997.999,3.8929143,1.1911612,4.071074397690361,-17.013160906239605
3.0,6812.999,4.3452921,0.96472448,4.451096129790243,-12.517548957099784
3.0,4642.0,4.5783343,0.86689144,4.659683007598453,-10.721822921661879
3.0,3162.0007,4.7614994,0.77114326,4.823540034419097,-9.19939774595831
3.0,2154.0,4.910419,0.70168394,4.960299900934915,-8.132337983928368
3.0,1467.9995,5.042099,0.65525204,5.084497768877981,-7.40444442190888
3.0,998.00061,5.1597958,0.64780784,5.200302654198418,-7.155992672107249
3.0,680.99933,5.2898588,0.65924525,5.330779532449734,-7.1038237141747675
3.0,463.99887,5.4268079,0.69937807,5.471688374560391,-7.343497842906332
3.0,316.00006,5.5858178,0.75195307,5.636203856699939,-7.666966047507144
3.0,215.00046,5.7614913,0.82305425,5.819982843481479,-8.129947049133627
3.0,146.99995,5.9576921,0.89783818,6.024965440221887,-8.570117537401003
3.0,102.00077,6.173677,0.97648096,6.250424206849605,-8.987927454293393
3.0,68.000511,6.4442091,1.0671413,6.531969188436861,-9.402677502101042
3.0,46.000347,6.7378602,1.1399366,6.833609260615037,-9.602586330543135
3.0,32.00024,7.0363088,1.1885899,7.1359923962501135,-9.58802480807308
3.0,22.000166,7.3513293,1.2113543,7.450464530293864,-9.357130802416165
3.0,14.99895,7.6678576,1.2120202,7.763055657348193,-8.982146535826214
3.0,10.000075,7.9747815,1.187925,8.062772834352165,-8.472491224432382
3.0,6.998889,8.2174063,1.1849314,8.30239897391023,-8.20536241595953
3.0,4.9988737,8.4374027,1.1955692,8.521687041540304,-8.06504679382614
3.0,2.9988587,8.7560711,1.2859602,8.849998573120747,-8.35501446616527
3.0,2.000015,9.0144691,1.4261044,9.12657805064714,-8.989786083105958
3.0,0.99884343,9.5795679,1.8746326,9.761268797430649,-11.072330013265319
3.0,0.99884343,9.5182133,1.8286062,9.692274503901306,-10.874965016766655
3.0,0.0,0.0,0.0,0.0,
4.0,9997.999,3.8928401,1.0836642,4.040857847354896,-15.555802723046414
4.0,6812.999,4.3471379,0.89494354,4.438302813171285,-11.632933012350353
4.0,4642.0,4.5530615,0.80019623,4.622843608569131,-9.967882278235052
4.0,3162.0007,4.7168655,0.71433061,4.770648631525195,-8.611539822371155
4.0,2154.0,4.8507748,0.65238845,4.894448574661751,-7.659837883137192
4.0,1467.9995,4.9703436,0.62582761,5.009588376254008,-7.176479774008558
4.0,998.00061,5.0947895,0.62661636,5.133179142785677,-7.01168651945131
4.0,680.99933,5.2136097,0.65107739,5.254105810859095,-7.11826612525149
4.0,463.99887,5.3544292,0.69883174,5.399840540112649,-7.435910458026046
4.0,316.00006,5.5138421,0.75702423,5.565567391429153,-7.817561545193758
4.0,215.00046,5.6966424,0.82412273,5.755945874274741,-8.231764402519945
4.0,146.99995,5.9018769,0.9013502,5.970308461528068,-8.683267249765288
4.0,102.00077,6.1160474,0.97874379,6.193865933769501,-9.091886426518661
4.0,68.000511,6.3842888,1.0629971,6.472179410091616,-9.453144400090416
4.0,46.000347,6.6787643,1.1356864,6.7746347631514015,-9.650517207865516
4.0,32.00024,6.9777436,1.1813139,7.077033861560517,-9.608915890352018
4.0,22.000166,7.2924895,1.2051449,7.391398875558419,-9.383795450436347
4.0,14.99895,7.6050224,1.1955783,7.69842666886765,-8.934290894239872
4.0,10.000075,7.9071541,1.1735715,7.993769825730476,-8.442150939134153
4.0,6.998889,8.1489563,1.1615658,8.231325767277063,-8.112387540355403
4.0,4.9988737,8.3669071,1.1792177,8.449596961040433,-8.022331013254712
4.0,2.9988587,8.6809902,1.2608706,8.772079885776257,-8.264136309198694
4.0,2.000015,8.9311543,1.3839287,9.037741741004341,-8.808225708414787
4.0,0.99884343,9.4034958,1.7548393,9.565834737723735,-10.5706977094499
4.0,0.99884343,9.4149237,1.7569644,9.577458544921457,-10.570653457557135
4.0,0.0,0.0,0.0,0.0,
5.0,9997.999,4.3120151,1.0609715,4.440623238515092,-13.823043125217403
5.0,6812.999,4.3253498,0.86784381,4.411553441919904,-11.345258714242908
5.0,4642.0,4.5199757,0.77116507,4.5852890741782675,-9.682158623970196
5.0,3162.0007,4.6738272,0.69418585,4.725098378848854,-8.448164114645667
5.0,2154.0,4.8026834,0.64099681,4.845270348604476,-7.602133593418484
5.0,1467.9995,4.9188628,0.61679089,4.957382600446614,-7.147185259636654
