cycle number	Ecell/V	Q discharge/mA.h	Energy discharge/W.h	
5.000000000000000E+000	3.3012438E+000	3.319463687857282E-001	-1.105087340216965E-003
5.000000000000000E+000	3.3001800E+000	3.392790030287000E-001	-1.129286352787483E-003
5.000000000000000E+000	3.2991161E+000	3.466116156481993E-001	-1.153477493389564E-003
5.000000000000000E+000	3.2982099E+000	3.539442237798332E-001	-1.177661974163381E-003
5.000000000000000E+000	3.2971458E+000	3.612768345378133E-001	-1.201838661246102E-003
5.000000000000000E+000	3.2961609E+000	3.686094439171048E-001	-1.226008121843677E-003
5.000000000000000E+000	3.2950971E+000	3.759420556621047E-001	-1.250169789632851E-003
5.000000000000000E+000	3.2942302E+000	3.832746460447337E-001	-1.274325030482002E-003
5.000000000000000E+000	3.2932451E+000	3.906072449675824E-001	-1.298473075787265E-003
5.000000000000000E+000	3.2921419E+000	3.979398347808214E-001	-1.322613002052295E-003
5.000000000000000E+000	3.2911174E+000	4.052724157259490E-001	-1.346745387005734E-003
5.000000000000000E+000	3.2902505E+000	4.126049917662434E-001	-1.370871399280289E-003
5.000000000000000E+000	3.2891471E+000	4.199375553040662E-001	-1.394989279659289E-003
5.000000000000000E+000	3.2880833E+000	4.272701294399260E-001	-1.419099394330645E-003
5.000000000000000E+000	3.2871771E+000	4.346027054694585E-001	-1.443202870235371E-003
5.000000000000000E+000	3.2861526E+000	4.419352810402339E-001	-1.467298832521078E-003
5.000000000000000E+000	3.2851675E+000	4.492678723329264E-001	-1.491387622801585E-003
5.000000000000000E+000	3.2840643E+000	4.566004570786448E-001	-1.515468302539718E-003
5.000000000000000E+000	3.2831581E+000	4.639330459177121E-001	-1.539542350715882E-003
5.000000000000000E+000	3.2822123E+000	4.712656272024537E-001	-1.563609438886934E-003
5.000000000000000E+000	3.2811091E+000	4.785981971906250E-001	-1.587668400962059E-003
5.000000000000000E+000	3.2800846E+000	4.859307870928736E-001	-1.611719916251758E-003
5.000000000000000E+000	3.2790208E+000	4.932633861586079E-001	-1.635763661005798E-003
5.000000000000000E+000	3.2780752E+000	5.005959871598374E-001	-1.659800478632882E-003
5.000000000000000E+000	3.2771688E+000	5.079285910103346E-001	-1.683830658833455E-003
5.000000000000000E+000	3.2759473E+000	5.152611896941025E-001	-1.707851865930974E-003
5.000000000000000E+000	3.2750804E+000	5.225937875459551E-001	-1.731866713747770E-003
5.000000000000000E+000	3.2740560E+000	5.299263902034652E-001	-1.755874065164729E-003
5.000000000000000E+000	3.2729921E+000	5.372589946007025E-001	-1.779873621679311E-003
5.000000000000000E+000	3.2720859E+000	5.445915948592581E-001	-1.803866519632881E-003
5.000000000000000E+000	3.2711403E+000	5.519241859204860E-001	-1.827852454027918E-003
5.000000000000000E+000	3.2701552E+000	5.592567739594272E-001	-1.851831154870017E-003
