cycle number,Ecell/V,Q discharge/mA.h,Energy discharge/W.h
2.0,3.3162482,0.629715493856503,-0.002105774004262895
2.0,3.3155,0.6370501708582708,-0.002130092126016143
2.0,3.3148303,0.6443848352684248,-0.002154405293866667
2.0,3.3141215,0.6517195163748994,-0.002178713318105472
2.0,3.3133733,0.6590541617421973,-0.002203015736430353
2.0,3.3126643,0.6663888038928312,-0.002227312943418935
2.0,3.3119948,0.6737234569660162,-0.002251605276191343
2.0,3.3112464,0.6810581058024038,-0.002275892105710236
2.0,3.3104193,0.6883927514204385,-0.002300172858277308
2.0,3.3097105,0.6957274097035662,-0.002324448453830137
2.0,3.309041,0.7030620414651104,-0.002348719051219552
2.0,3.3082139,0.710396687280006,-0.002372983628816857
2.0,3.3075838,0.7177313456700909,-0.002397243626151706
2.0,3.3068748,0.7250660168349081,-0.002421498465041191
