cycle number	Ecell/V	Q charge/mA.h	Energy charge/W.h	
3.000000000000000E+000	3.3967516E+000	1.340054526395268E-003	4.452140646647677E-006
3.000000000000000E+000	3.4017560E+000	1.418766319586171E-003	4.719898965199696E-006
3.000000000000000E+000	3.4067605E+000	1.504812489218182E-003	5.013037653135511E-006
3.000000000000000E+000	3.4118435E+000	1.604059100184176E-003	5.351651561456452E-006
3.000000000000000E+000	3.4169269E+000	1.712104436788294E-003	5.720834574284250E-006
3.000000000000000E+000	3.4219706E+000	1.839217309190167E-003	6.155811087268650E-006
3.000000000000000E+000	3.4269750E+000	1.981485675175984E-003	6.643361222475300E-006
3.000000000000000E+000	3.4319794E+000	2.142332515286074E-003	7.195384267151441E-006
3.000000000000000E+000	3.4370232E+000	2.327136628329754E-003	7.830560284271001E-006
3.000000000000000E+000	3.4421456E+000	2.542738689018620E-003	8.572693965806661E-006
3.000000000000000E+000	3.4471500E+000	2.794031094577577E-003	9.438936579616151E-006
3.000000000000000E+000	3.4521544E+000	3.067814377182059E-003	1.038407874274837E-005
3.000000000000000E+000	3.4571588E+000	3.384619534479247E-003	1.147932448143188E-005
3.000000000000000E+000	3.4621632E+000	3.738090674910280E-003	1.270309925959896E-005
3.000000000000000E+000	3.4671676E+000	4.133120096657011E-003	1.407273247800317E-005
3.000000000000000E+000	3.4722114E+000	4.572638599077861E-003	1.559883361544840E-005
3.000000000000000E+000	3.4772944E+000	5.071313710411389E-003	1.733287380996710E-005
3.000000000000000E+000	3.4822989E+000	5.623767867121431E-003	1.925668428511594E-005
3.000000000000000E+000	3.4873033E+000	6.245644891758760E-003	2.142535805858003E-005
3.000000000000000E+000	3.4923077E+000	6.943299571871757E-003	2.386178284404126E-005
3.000000000000000E+000	3.4973121E+000	7.766109521852600E-003	2.673940601255252E-005
3.000000000000000E+000	3.5023952E+000	8.780570355024603E-003	3.029244871760881E-005
3.000000000000000E+000	3.5073996E+000	1.027023636953698E-002	3.551730263999809E-005
3.000000000000000E+000	3.5124040E+000	1.353655270185736E-002	4.698992507657246E-005
3.000000000000000E+000	3.5156350E+000	2.086999531841940E-002	7.277163270944010E-005
3.000000000000000E+000	3.5170143E+000	2.820341992917988E-002	9.856339167722989E-005
3.000000000000000E+000	3.5179994E+000	3.553684961772627E-002	1.243623929994273E-004
3.000000000000000E+000	3.5185905E+000	4.287028435465362E-002	1.501657464325819E-004
3.000000000000000E+000	3.5191028E+000	5.020373020158873E-002	1.759728963328122E-004
3.000000000000000E+000	3.5196543E+000	5.753718238688177E-002	2.017841126598567E-004
3.000000000000000E+000	3.5201273E+000	6.487062447806199E-002	2.275987623419391E-004
3.000000000000000E+000	3.5206001E+000	7.220405162870884E-002	2.534168265587748E-004
3.000000000000000E+000	3.5211124E+000	7.953747358732753E-002	2.792386298598248E-004
