cycle number,time/s,Ecell/V,I/mA,Q charge/mA.h
25.0,706265.2664054502,3.6189523,0.87987632,1.387623199298944
25.0,706295.2664085794,3.6200943,0.88003385,1.39495621177968
25.0,706325.2664117087,3.6213152,0.87987632,1.402289223985406
25.0,706355.2664148379,3.6223786,0.87967938,1.409622248879968
25.0,706385.2664179672,3.6234419,0.87995511,1.416955267574588
25.0,706415.2664210964,3.6246233,0.87991571,1.424288255034353
25.0,706445.2664242256,3.6259625,0.88007325,1.431621226401097
25.0,706475.2664273549,3.6272225,0.88003385,1.438954210930466
25.0,706505.2664304841,3.6283648,0.88011265,1.446287192285491
25.0,706535.2664336134,3.6297038,0.88003385,1.453620177000297
25.0,706565.2664367426,3.6308458,0.87997478,1.46095316742642
25.0,706595.2664398719,3.6321061,0.87999451,1.468286140796939
25.0,706625.2664430011,3.6336026,0.88003385,1.475619147413207
25.0,706655.2664461304,3.6347842,0.87989604,1.482952167431149
25.0,706685.2664492596,3.6361232,0.87991571,1.490285181048247
25.0,706715.2664523888,3.6375411,0.87989604,1.497618197893367
25.0,706745.2664555181,3.6390376,0.87999451,1.504951210997601
25.0,706775.2664586473,3.6403372,0.87999451,1.512284227538108
25.0,706805.2664617766,3.6418731,0.87997478,1.519617233966952
25.0,706835.2664649058,3.6434877,0.87977785,1.526950223264991
25.0,706865.266468035,3.6451418,0.88007325,1.534283229388528
25.0,706895.2664711643,3.6466384,0.87999451,1.54161625006477
25.0,706925.2664742935,3.6483712,0.87995511,1.548949281876782
25.0,706955.2664774228,3.6500254,0.87989604,1.556282313982844
25.0,706985.266480552,3.6519158,0.88007325,1.563615335248741
25.0,707015.2664836813,3.653688,0.87999451,1.570948368240727
25.0,707045.2664868105,3.6556964,0.87983698,1.578281402808261
25.0,707075.2664899398,3.657902,0.87985665,1.58561444905281
25.0,707105.266493069,3.6601074,0.87993538,1.592947480305697
25.0,707135.2664961983,3.662431,0.87997478,1.600280536151892
25.0,707165.2664993275,3.6649516,0.87997478,1.607613574178218
25.0,707195.2665024567,3.6676295,0.87993538,1.614946614391306
25.0,707225.266505586,3.6707013,0.88011265,1.622279670621388
25.0,707255.2665087152,3.6737733,0.87997478,1.629612739343907
25.0,707285.2665118445,3.6774752,0.88001418,1.63694579151584
25.0,707315.2665149737,3.681453,0.87995511,1.644278847766121
25.0,707345.266518103,3.6860607,0.87995511,1.6516118921165
25.0,707371.6065208502,3.6910625,0.87993538,1.65805030402561
25.0,707394.5285232421,3.696064,0.88005358,1.663653238850865
25.0,707413.7045252416,3.7010655,0.87995511,1.668340527986486
25.0,707429.7085269112,3.7060673,0.87997478,1.672252453390227
25.0,707443.2805283275,3.7111082,0.87999451,1.675569922315776
25.0,707454.9485295443,3.71611,0.88001418,1.678421990915371
25.0,707464.9205305837,3.7211115,0.87997478,1.680859498754673
25.0,707473.6645314954,3.7261131,0.88003385,1.682996831320756
25.0,707481.4785323106,3.7311149,0.87983698,1.684906848497556
25.0,707488.4845330417,3.7361164,0.87991571,1.686619360658195
25.0,707494.8765337088,3.741118,0.87987632,1.688181790810558
25.0,707500.6465343107,3.7461591,0.88015205,1.68959218065583
25.0,707506.1065348797,3.7511606,0.87995511,1.69092679641313
25.0,707511.1125354022,3.7561624,0.88003385,1.692150435252885
25.0,707515.8565358967,3.7612033,0.87987632,1.693310034206443
25.0,707520.362536367,3.7662051,0.87997478,1.694411456850999
25.0,707524.5785368066,3.7712066,0.88003385,1.695441996532943
25.0,707528.7025372377,3.7762475,0.88001418,1.696450043921504
25.0,707532.6505376492,3.7812493,0.87993538,1.697415075670348
25.0,707536.4305380434,3.7862508,0.88005358,1.698339042760498
25.0,707540.1745384336,3.7912526,0.87995511,1.699254204808109
25.0,707543.8185388139,3.7962542,0.87999451,1.70014492920412
25.0,707546.4845390916,3.800035,0.88005358,1.700796593092382
25.0,707546.4865390919,3.7998774,0.87983698,1.700797081890702
26.0,718442.9856756851,3.4464157,0.87989604,4.888311359617446e-07
26.0,718443.0216756891,3.4514961,0.87989604,9.288207060760922e-06
26.0,718443.1576757021,3.4565763,0.87989604,4.253093355231815e-05
26.0,718443.567675746,3.4615781,0.87987632,0.0001427480644981066
26.0,718444.4936758429,3.4666584,0.87997478,0.0003690923007329305
26.0,718446.1896760194,3.4716601,0.88003385,0.0007836489922801654
26.0,718448.809676293,3.4766617,0.88007325,0.001424061088694467
26.0,718452.5256766807,3.4816635,0.88001418,0.002332373734646374
26.0,718457.8276772341,3.486665,0.87997478,0.003628354493346479
26.0,718465.8936780747,3.4916666,0.88005358,0.005599949009848965
26.0,718480.0316795483,3.4966683,0.87989604,0.00905575394809246
26.0,718510.0316826776,3.5009215,0.87995511,0.01638876333187024
26.0,718540.0316858068,3.502615,0.88005358,0.02372177115244998
26.0,718570.031688936,3.503324,0.88003385,0.03105476691590415
26.0,718600.0316920653,3.5037179,0.87999451,0.03838777936359247
26.0,718630.0316951945,3.5041115,0.87993538,0.04572078407684962
26.0,718660.0316983238,3.5043874,0.87991571,0.05305378764188952
26.0,718690.031701453,3.5047023,0.87995511,0.06038680466277732
26.0,718720.0317045823,3.5052145,0.88003385,0.06771982865356738
26.0,718750.0317077115,3.5054507,0.88003385,0.07505285102234947
26.0,718780.0317108408,3.5056081,0.87999451,0.08238588433239197
26.0,718810.03171397,3.505805,0.87995511,0.0897189029711154
26.0,718840.0317170992,3.5060809,0.87995511,0.09705191147138675
26.0,718870.0317202285,3.5064745,0.87991571,0.104384924924175
26.0,718900.0317233577,3.5066714,0.87993538,0.1117179479408927
26.0,718930.031726487,3.5071046,0.87983698,0.1190509489122033
26.0,718960.0317296162,3.5073409,0.87977785,0.1263839609449109
26.0,718990.0317327455,3.5076168,0.87995511,0.1337169699676832
26.0,719020.0317358747,3.5080106,0.87995511,0.1410499773182141
26.0,719050.031739004,3.5080893,0.87989604,0.1483829895357953
26.0,719080.0317421332,3.5086012,0.88001418,0.1557159980579879
26.0,719110.0317452624,3.5089164,0.88007325,0.1630490080323153
26.0,719140.0317483917,3.509074,0.87997478,0.1703820155459311
26.0,719170.0317515209,3.5095859,0.88001418,0.1777149752487407
26.0,719200.0317546502,3.5098221,0.87997478,0.185047963835299
26.0,719230.0317577794,3.5100977,0.87993538,0.1923809476085835
26.0,719260.0317609087,3.5105309,0.87991571,0.19971392883367
26.0,719290.0317640379,3.5108855,0.88003385,0.2070469057264592
